OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,24.5,97.6,77.2,76.0,76.7,98.4,29.5,43.4,99.5,99.7,32.9,25.1,24.39,161.1,83.5,33.1,19.2,73.5,82.4,32.1,38.5,30.4,41.0,38.1,28.5,23.9,14.7,56.2,13.4,26.4,69.6,142.5,57.9,32.5,134.7,135.0,81.6,94.5,119.5,66.5,26.6,69.6,102.6,4.0,69.1,32.0,38.1,38.6,101.5,76.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0113.txt
cm,22.4,105.6,82.3,80.7,93.2,105.9,31.0,45.9,107.4,106.9,35.6,30.7,25.35,162.5,90.7,37.2,21.9,82.2,100.3,35.4,42.6,34.4,39.9,40.8,33.1,26.6,16.9,57.9,14.5,30.2,72.4,147.9,61.2,39.0,138.7,140.7,99.0,102.3,122.7,67.3,26.9,88.5,107.6,4.0,72.3,36.3,42.7,42.9,111.0,81.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0114.txt
cm,12.4,100.3,78.6,77.3,96.5,102.7,30.5,44.5,102.1,101.8,35.9,26.9,25.93,158.7,86.8,38.8,20.4,92.2,101.8,38.1,40.5,36.8,36.0,35.6,33.8,25.0,16.3,58.6,11.8,32.6,70.4,142.3,58.0,35.1,136.6,136.3,101.0,97.0,113.8,65.0,26.0,91.8,103.3,3.5,70.1,34.0,41.9,41.2,105.1,77.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0115.txt
cm,25.6,108.1,83.4,81.6,98.8,115.4,32.0,46.9,110.9,110.5,40.1,32.7,27.27,176.0,92.6,42.2,21.4,89.3,104.7,36.8,44.8,37.4,42.8,40.9,35.1,26.8,16.0,60.0,13.9,33.6,73.9,156.9,66.6,45.8,150.4,148.6,110.6,104.5,129.1,75.3,30.1,91.1,111.7,4.0,73.4,39.1,47.5,45.1,115.9,84.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0116.txt
cm,15.9,104.3,86.2,84.5,90.4,106.5,33.0,48.5,105.4,104.7,28.0,23.0,25.44,164.1,91.5,36.9,19.7,83.3,96.1,35.4,39.9,33.2,39.1,36.7,29.1,24.1,16.1,60.5,12.7,25.4,73.1,151.3,62.8,39.2,143.8,145.0,91.3,101.5,127.0,66.8,26.7,81.4,111.2,4.0,76.9,35.1,42.9,42.5,110.7,86.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0117.txt
cm,20.2,107.5,86.5,84.9,91.4,108.0,34.5,49.6,109.5,109.2,35.0,28.0,24.83,169.0,91.4,36.3,19.8,84.7,94.3,40.1,40.5,34.3,40.1,36.6,30.3,25.3,16.0,60.9,13.2,28.5,74.1,152.4,63.6,36.3,145.6,146.9,94.1,104.7,128.4,67.5,27.0,82.0,111.9,4.5,75.4,34.7,45.3,42.0,110.1,84.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0118.txt
cm,21.6,105.1,81.4,80.3,90.0,105.8,32.0,46.5,107.4,106.7,36.8,30.3,26.34,166.5,89.3,40.5,20.3,84.4,104.4,35.3,43.0,38.3,41.7,42.1,33.5,25.8,16.6,56.2,12.9,28.1,69.1,149.1,64.6,41.6,140.8,140.8,101.2,101.8,126.3,68.8,27.5,87.8,107.8,4.0,73.2,35.7,41.4,41.0,108.9,81.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0119.txt
cm,31.4,91.3,66.9,65.0,102.0,122.4,23.5,35.9,95.0,95.4,40.2,29.9,34.73,157.7,78.0,37.6,16.7,83.4,100.7,36.2,40.6,36.1,43.9,43.9,35.4,28.3,16.2,50.8,12.7,33.4,63.4,136.7,70.3,35.5,131.5,132.2,118.2,87.8,111.5,71.8,28.7,94.0,93.7,3.5,61.3,34.5,44.1,46.5,126.9,73.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0120.txt
cm,17.3,101.7,78.7,77.5,91.0,100.3,29.0,43.5,103.7,102.9,35.0,28.0,25.34,166.3,86.5,36.3,16.7,80.5,91.8,36.2,43.2,34.1,41.3,39.4,30.2,24.2,15.9,57.1,13.7,29.9,70.8,146.4,61.4,37.5,138.4,138.7,94.7,98.8,121.0,69.0,27.6,83.7,105.1,4.0,68.7,35.8,43.3,41.5,106.1,78.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0121.txt
cm,19.8,95.5,74.8,73.6,86.1,94.3,29.0,42.4,97.5,96.7,31.7,25.9,23.74,146.0,82.6,35.2,16.3,75.4,91.4,32.2,39.3,33.1,34.2,33.3,28.8,23.7,15.5,54.9,13.0,29.5,67.9,141.6,52.5,39.8,134.6,134.6,89.9,92.5,117.1,68.0,27.2,77.5,100.8,4.0,66.5,33.6,40.3,37.3,96.1,74.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0122.txt
cm,25.4,94.8,74.5,72.9,85.8,98.1,28.5,41.8,97.0,96.7,32.3,24.4,22.86,158.3,82.9,31.7,20.4,77.5,100.6,34.8,38.6,30.0,35.6,34.6,29.9,24.5,15.5,51.8,14.0,31.0,65.9,140.4,56.5,39.3,133.7,135.4,89.2,92.1,118.9,67.5,27.0,79.5,99.9,3.5,65.2,34.2,36.9,39.5,101.8,73.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0123.txt
cm,19.3,99.6,77.1,76.1,91.5,111.0,29.5,43.5,101.6,101.2,34.3,27.8,30.06,167.8,85.1,37.3,21.0,83.2,101.8,36.2,41.3,33.9,42.8,43.6,32.3,26.4,16.6,57.1,12.1,29.5,69.2,145.6,61.9,38.1,138.1,138.6,104.1,95.9,120.1,69.5,27.8,82.5,103.9,4.0,68.7,35.0,43.4,42.6,111.4,79.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0124.txt
cm,22.5,97.6,75.3,74.0,79.7,97.5,29.0,42.5,99.1,98.9,33.4,26.7,24.51,156.4,82.5,35.2,16.7,77.2,97.1,34.2,39.6,32.2,36.3,36.1,28.7,23.1,14.4,52.4,13.1,25.6,65.5,140.8,58.1,42.3,133.8,134.0,88.7,94.8,120.5,66.8,26.7,72.3,100.7,4.0,66.0,34.9,41.5,39.9,102.3,74.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0125.txt
cm,22.4,94.9,74.8,73.8,87.1,99.1,29.0,42.4,96.9,97.1,32.6,25.1,31.88,146.7,83.3,35.7,19.5,80.7,91.2,35.3,40.0,32.4,37.1,36.4,28.6,22.1,14.6,54.7,12.6,26.4,67.3,139.3,56.0,36.0,134.1,133.1,88.4,92.2,115.8,65.5,26.2,80.4,100.0,4.0,70.6,35.3,40.4,38.3,100.4,75.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0126.txt
cm,23.2,96.2,75.6,73.8,91.7,108.6,30.5,43.5,98.3,97.4,33.5,25.2,25.15,161.9,81.8,36.0,16.9,86.1,101.6,38.2,41.9,33.1,37.2,40.8,32.6,26.5,15.5,55.1,12.9,30.0,68.0,142.1,65.4,36.5,136.3,135.8,98.9,93.1,117.3,68.3,27.3,85.3,101.1,3.5,66.1,35.6,41.6,44.1,114.3,73.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0127.txt
cm,19.9,99.9,77.5,76.4,105.5,105.1,30.0,43.9,102.4,102.0,34.2,31.5,23.92,163.0,86.9,38.6,19.6,82.2,98.9,39.3,41.0,35.9,38.1,36.9,30.4,25.0,15.8,56.4,13.1,31.0,69.5,145.4,56.7,35.7,138.4,139.1,108.0,96.2,118.9,69.0,27.6,95.5,104.0,4.0,67.9,35.3,43.2,38.3,102.0,78.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0128.txt
cm,25.1,86.7,70.8,69.3,83.1,93.1,27.0,39.7,89.1,88.8,31.2,18.2,22.43,153.4,78.8,33.7,18.7,81.1,91.6,32.5,37.7,30.8,36.5,35.3,31.1,24.4,14.5,49.1,12.1,27.9,61.2,133.1,56.7,35.6,125.8,127.3,83.8,84.4,109.3,63.8,25.5,75.7,94.8,3.5,61.6,33.0,37.4,36.9,97.2,69.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0129.txt
cm,18.0,91.1,73.0,71.5,83.9,92.6,27.5,40.7,93.1,93.4,30.4,23.6,30.22,149.5,80.5,35.7,18.8,87.6,97.8,36.6,38.3,33.4,34.4,36.9,30.5,22.1,14.7,55.5,12.0,28.9,67.5,137.6,54.1,35.3,132.3,132.1,87.5,88.0,113.1,66.0,26.4,88.6,98.0,3.5,64.3,33.6,40.4,33.8,92.8,74.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0130.txt
cm,27.3,104.6,79.5,77.5,99.0,120.3,32.5,46.0,107.7,106.6,41.7,33.6,28.01,171.6,87.0,39.2,16.2,87.3,102.0,36.9,43.1,35.1,44.9,45.1,36.1,29.3,17.8,56.2,13.4,32.0,69.6,151.5,72.4,39.9,144.3,145.0,114.1,100.7,125.5,74.0,29.6,89.3,107.1,3.5,70.2,37.0,47.5,47.6,122.3,77.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0131.txt
cm,24.1,104.7,84.9,83.6,86.3,104.9,31.5,47.1,106.5,107.4,34.0,25.9,26.64,173.9,91.6,34.4,21.0,88.6,100.5,35.7,39.5,31.7,39.9,37.9,30.4,25.1,15.8,59.1,13.1,27.4,72.2,154.3,63.9,40.5,147.8,148.1,93.1,101.7,133.6,70.8,28.3,74.2,111.9,4.0,76.3,35.5,41.6,42.1,108.4,84.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0132.txt
cm,22.8,93.9,70.5,69.3,82.0,99.8,25.0,38.3,95.0,95.6,34.6,28.7,23.98,153.9,80.3,36.0,20.6,84.7,101.6,34.9,41.1,33.4,38.6,37.8,30.5,23.8,15.3,50.5,13.1,27.7,63.6,133.8,59.2,42.4,128.3,127.8,95.6,90.4,113.8,64.5,25.8,81.5,95.1,3.0,62.4,35.3,40.9,39.4,104.0,71.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0133.txt
cm,20.0,95.6,73.0,71.8,88.4,102.7,28.5,41.5,97.6,97.4,35.0,25.9,24.68,158.9,79.3,35.1,18.9,83.8,97.8,32.9,38.0,32.5,39.1,36.3,30.7,24.8,15.2,53.1,11.8,23.0,64.9,141.3,58.8,41.8,136.0,134.3,96.6,92.7,122.8,69.5,27.8,81.1,99.6,3.5,65.0,33.7,40.4,40.0,103.6,73.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0134.txt
cm,21.5,102.7,77.8,76.4,87.9,104.1,30.0,43.9,105.1,103.9,38.2,31.3,26.81,164.1,86.9,33.5,21.6,77.7,101.4,31.5,38.2,31.2,40.0,40.7,31.9,24.1,14.4,55.6,12.2,28.8,67.9,145.2,64.6,40.2,139.4,139.2,100.7,99.8,122.4,68.8,27.5,84.3,103.9,4.0,68.3,33.9,38.2,43.3,111.3,77.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0135.txt
cm,15.6,96.1,78.2,77.0,96.6,100.8,29.5,43.7,98.4,98.2,30.2,25.4,24.68,162.6,86.0,36.7,16.8,91.2,101.7,35.3,43.3,34.4,38.0,36.0,31.8,24.8,15.6,55.2,13.5,30.1,68.7,143.9,58.6,40.0,135.4,137.4,96.3,93.6,118.0,67.0,26.8,87.6,103.8,3.5,69.5,36.3,44.3,39.3,100.5,77.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0136.txt
cm,13.0,101.0,78.9,78.0,86.4,97.3,29.5,44.0,102.1,101.8,32.1,26.6,26.23,166.2,86.0,34.2,20.9,76.8,96.3,36.8,40.1,31.1,37.4,35.8,28.7,23.7,16.1,60.1,12.2,29.4,72.3,148.8,52.9,38.5,141.8,142.5,92.4,98.5,124.0,70.8,28.3,70.9,106.3,4.0,70.4,34.4,44.1,39.5,99.8,78.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0137.txt
cm,24.7,91.7,72.9,71.6,87.3,105.9,28.0,41.1,93.9,93.8,32.0,23.3,25.01,157.1,79.6,34.7,20.3,82.0,100.9,38.4,41.3,32.3,37.6,36.8,32.2,26.0,16.7,53.9,13.4,26.6,67.4,139.4,60.8,39.8,133.1,133.1,93.5,88.4,117.6,67.8,27.1,78.0,98.7,4.0,64.1,36.4,43.2,41.7,108.0,72.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0138.txt
cm,19.6,90.7,72.1,70.4,80.8,92.5,29.0,41.4,92.2,91.9,28.6,25.0,23.68,153.6,77.4,36.1,19.3,72.2,92.3,31.5,39.4,35.4,35.2,33.2,28.8,22.5,14.2,50.8,12.3,27.2,63.1,134.9,51.9,38.3,128.9,129.9,82.6,87.9,113.9,64.5,25.8,71.7,96.2,4.0,63.4,33.8,39.6,36.9,94.9,70.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0139.txt
cm,18.4,91.2,72.2,71.0,85.6,100.7,29.0,41.6,92.3,92.6,29.9,23.2,24.51,155.3,79.5,34.7,17.0,76.5,88.8,32.6,39.6,32.5,37.3,38.1,31.0,24.3,16.3,54.1,13.2,26.5,67.4,138.8,57.6,37.0,132.3,131.5,90.0,88.1,115.5,67.8,27.1,77.0,98.1,4.0,63.0,34.8,40.4,41.9,104.4,71.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0140.txt
cm,21.7,91.1,71.4,70.0,71.3,84.9,28.0,40.6,92.8,92.6,28.5,24.7,22.03,154.0,78.0,33.5,17.5,70.6,81.6,31.2,34.6,30.6,32.3,31.3,23.4,20.7,13.2,51.7,10.9,26.2,62.6,136.5,45.8,30.8,131.2,131.5,75.4,88.7,113.5,66.5,26.6,65.3,96.6,3.0,62.0,30.3,35.3,33.9,85.5,70.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0141.txt
cm,22.1,94.7,75.4,74.3,76.1,90.8,30.0,43.3,96.4,95.9,28.7,23.7,22.02,156.6,82.8,34.3,16.6,75.1,86.8,30.9,37.9,30.8,34.7,34.8,26.5,22.7,14.9,53.9,11.6,26.5,65.5,139.6,50.5,38.3,133.1,132.3,79.5,92.3,117.8,65.3,26.1,69.8,100.4,4.0,66.8,31.9,38.8,36.7,94.3,74.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0142.txt
cm,25.7,91.8,72.1,71.0,80.4,98.1,28.0,40.9,93.8,93.1,32.1,24.9,28.17,151.8,78.5,36.0,14.4,76.4,89.8,31.8,39.5,35.0,35.6,36.2,29.3,22.8,14.4,53.3,12.7,27.9,65.9,136.8,55.3,36.3,128.5,131.0,82.2,89.1,114.0,65.8,26.3,71.6,97.3,4.0,63.4,33.7,38.8,39.0,102.7,72.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0143.txt
cm,27.7,109.1,85.8,84.6,87.6,106.7,34.0,49.2,111.8,111.4,36.8,29.4,25.30,178.2,94.1,38.0,20.6,81.9,96.9,34.3,42.1,34.0,40.7,37.6,30.7,26.0,15.5,57.7,13.9,27.0,71.5,157.3,62.8,41.5,149.6,149.3,97.5,106.0,133.6,72.8,29.1,78.8,113.7,4.0,76.2,37.1,44.7,41.1,108.6,84.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0144.txt
cm,21.9,102.0,81.9,80.8,86.1,100.4,32.0,46.7,103.9,103.3,31.2,25.4,23.68,168.2,89.3,36.2,21.5,76.4,91.4,30.1,41.3,32.6,35.1,35.0,27.4,22.7,14.0,56.2,13.5,26.7,69.7,150.6,58.4,41.3,142.6,143.8,88.1,99.3,127.8,69.8,27.9,74.8,108.7,4.0,73.2,36.5,40.5,41.0,104.2,81.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0145.txt
cm,24.4,103.4,80.1,79.2,90.4,101.3,31.0,45.4,106.1,105.5,35.0,29.8,25.20,164.4,87.2,35.0,16.1,81.1,96.9,33.5,44.0,33.0,39.4,37.4,30.5,23.6,16.5,58.1,14.5,27.9,72.6,144.9,55.2,38.3,135.9,135.9,96.2,100.7,121.7,65.8,26.3,87.7,105.5,3.5,71.3,36.2,39.0,40.4,103.8,82.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0146.txt
cm,14.9,97.5,74.6,73.5,91.5,99.9,26.5,40.6,99.2,98.9,34.9,29.1,25.99,157.8,82.5,36.3,18.9,83.9,95.4,33.0,32.7,35.0,39.1,35.9,30.9,23.5,15.2,58.0,9.4,29.3,67.3,142.2,56.4,29.0,138.0,138.2,97.9,94.2,117.5,68.8,27.5,88.8,101.0,3.5,65.7,29.2,41.1,39.3,100.4,75.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0147.txt
cm,21.0,90.1,73.8,72.7,93.9,105.0,29.0,42.1,91.8,91.9,27.9,22.1,23.96,154.3,80.2,36.7,18.2,83.7,97.8,35.4,40.2,33.6,39.3,37.6,30.7,25.7,15.8,53.3,13.1,28.7,66.4,137.2,61.1,39.1,129.9,130.4,96.2,86.8,114.2,64.5,25.8,86.4,98.5,4.0,65.0,35.5,41.6,42.7,107.9,73.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0148.txt
cm,22.3,105.7,80.3,78.8,91.4,98.7,31.0,45.3,108.3,107.6,38.9,32.2,23.62,171.0,88.8,36.3,21.2,87.1,105.8,35.6,43.4,33.6,36.3,35.2,31.6,24.9,16.2,55.4,14.5,29.9,69.9,150.3,58.6,42.9,143.8,143.1,98.4,102.3,127.8,71.5,28.6,88.7,107.4,4.0,70.0,37.9,43.0,39.0,102.7,79.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0149.txt
cm,20.2,96.8,73.9,72.5,76.6,89.2,28.0,41.3,98.8,98.1,34.5,28.2,28.96,153.0,82.0,33.0,17.7,75.1,86.9,34.5,35.6,31.3,36.9,36.5,27.1,24.4,15.6,53.6,11.4,26.6,65.1,136.2,52.0,30.6,130.2,130.2,82.7,94.1,114.0,63.8,25.5,74.3,98.0,4.0,68.9,30.0,36.0,34.9,90.6,76.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0150.txt
cm,13.5,95.7,77.0,75.5,90.2,95.5,31.0,44.4,97.6,97.2,29.9,24.0,22.61,158.3,85.0,38.0,19.2,81.9,96.4,36.3,39.4,36.6,35.2,33.8,28.9,24.4,14.9,56.6,11.5,26.6,68.1,141.0,54.9,38.9,136.3,136.5,92.8,92.8,119.0,65.5,26.2,85.1,101.7,4.0,68.2,35.2,43.5,38.5,97.1,76.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0151.txt
cm,19.0,97.6,78.1,76.6,88.2,102.6,30.0,44.0,99.2,98.7,32.6,24.5,23.12,164.2,83.1,36.3,15.9,80.6,90.2,34.7,39.4,32.9,36.4,35.4,28.6,23.2,15.5,54.9,13.2,28.7,68.1,144.6,57.7,36.8,139.1,138.4,92.8,94.7,120.6,68.0,27.2,78.7,103.8,4.0,67.9,34.4,41.5,40.5,105.7,77.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0152.txt
cm,16.1,91.8,69.8,68.0,91.0,99.7,26.5,39.0,93.5,93.2,33.4,28.0,22.69,155.7,78.0,37.0,19.6,80.9,98.1,35.0,39.0,34.6,33.7,35.4,31.7,24.2,16.0,51.8,11.7,27.0,63.5,136.3,55.1,35.6,129.8,129.5,100.0,88.4,113.0,68.3,27.3,85.1,95.3,3.5,59.7,33.6,40.3,39.3,100.3,68.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0153.txt
cm,22.7,90.4,70.3,69.1,92.8,101.3,27.5,40.0,92.5,91.6,32.8,26.6,26.34,150.6,76.1,35.8,18.9,79.1,89.9,34.5,35.5,34.1,42.1,36.8,32.0,25.4,16.4,55.7,10.5,32.4,66.2,136.1,59.5,30.2,129.6,129.3,94.9,87.0,106.1,67.0,26.8,84.3,95.9,3.5,62.6,29.9,38.5,41.6,106.6,69.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0154.txt
cm,12.2,95.3,74.8,73.6,94.3,99.8,29.5,42.7,97.2,97.4,33.3,25.8,23.76,157.4,82.1,36.3,17.9,90.5,103.6,36.6,39.6,34.2,39.1,36.7,30.9,24.3,16.3,53.9,14.1,28.9,68.0,137.1,56.0,37.1,129.4,129.9,98.6,92.2,114.6,63.5,25.4,90.9,99.0,3.5,65.4,32.8,36.4,38.3,100.3,78.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0155.txt
